folio,tag,meta_left,scribal,line_text,word_index,original_word,cleaned_word,unified_word,has_markup,ambiguity_notes
f85r1,f85r1.P.11;H,f85r1.P.11,H,pdar.ol.shdair.qopcheedy.dal.chdal.chor.shefshoro.raiin.dalor.aiin.opakam,1,pdar.ol.shdair.qopcheedy.dal.chdal.chor.shefshoro.raiin.dalor.aiin.opakam,pdar.ol.shdair.qopcheedy.dal.chdal.chor.shefshoro.raiin.dalor.aiin.opakam,pdar.ol.shdair.qopcheedy.dal.chdal.chor.shefshoro.raiin.dalor.aiin.opakam,False,many_dots
f85r1,f85r1.P.12;H,f85r1.P.12,H,tdain.okeody.lchdy.lkor.oeeseary.dar.shedaiin.oto.daiin.dxar.am,1,tdain.okeody.lchdy.lkor.oeeseary.dar.shedaiin.oto.daiin.dxar.am,tdain.okeody.lchdy.lkor.oeeseary.dar.shedaiin.oto.daiin.dxar.am,tdain.okeody.lchdy.lkor.oeeseary.dar.shedaiin.oto.daiin.dxar.am,False,many_dots
f85r1,f85r1.P.13;H,f85r1.P.13,H,rsheodor.qoctho.kar.okaiin.ykeeeody.qotal.ol.s.aiin.ol.daldy.shody,1,rsheodor.qoctho.kar.okaiin.ykeeeody.qotal.ol.s.aiin.ol.daldy.shody,rsheodor.qoctho.kar.okaiin.ykeeeody.qotal.ol.s.aiin.ol.daldy.shody,rsheodor.qoctho.kar.okaiin.ykeeeody.qotal.ol.s.aiin.ol.daldy.shody,False,many_dots
f85r1,f85r1.P.14;H,f85r1.P.14,H,daror.sheedy.keody.oteody.sar.aiin.cheedy.otaiin.dar.al.odaiiin,1,daror.sheedy.keody.oteody.sar.aiin.cheedy.otaiin.dar.al.odaiiin,daror.sheedy.keody.oteody.sar.aiin.cheedy.otaiin.dar.al.odaiiin,daror.sheedy.keody.oteody.sar.aiin.cheedy.otaiin.dar.al.odaiiin,False,many_dots
f85r1,f85r1.P.15;H,f85r1.P.15,H,qokeeodain.chey.okaiin.okal.al.dl.sheokey.cheokain.ol.keeo.dal.olky,1,qokeeodain.chey.okaiin.okal.al.dl.sheokey.cheokain.ol.keeo.dal.olky,qokeeodain.chey.okaiin.okal.al.dl.sheokey.cheokain.ol.keeo.dal.olky,qokeeodain.chey.okaiin.okal.al.dl.sheokey.cheokain.ol.keeo.dal.olky,False,many_dots
f85r1,f85r1.P.16;H,f85r1.P.16,H,shoiin.qokar.okary.cheey,1,shoiin.qokar.okary.cheey,shoiin.qokar.okary.cheey,shoiin.qokar.okary.cheey,False,
f85r1,f85r1.P.17;H,f85r1.P.17,H,polky.shey.olkedaiin.shor.cphedy.dair.shcphhy.ofchey.shtor.aiin.sham,1,polky.shey.olkedaiin.shor.cphedy.dair.shcphhy.ofchey.shtor.aiin.sham,polky.shey.olkedaiin.shor.cphedy.dair.shcphhy.ofchey.shtor.aiin.sham,polky.shey.olkedaiin.shor.cphedy.dair.shcphhy.ofchey.shtor.aiin.sham,False,many_dots
f85r1,f85r1.P.18;H,f85r1.P.18,H,olkeey.otchey.qokedy.qodaiin.chcthihy.checphey.otshey.qokshey.schdy.dam,1,olkeey.otchey.qokedy.qodaiin.chcthihy.checphey.otshey.qokshey.schdy.dam,olkeey.otchey.qokedy.qodaiin.chcthihy.checphey.otshey.qokshey.schdy.dam,olkeey.otchey.qokedy.qodaiin.chcthihy.checphey.otshey.qokshey.schdy.dam,False,many_dots
f85r1,f85r1.P.19;H,f85r1.P.19,H,okchy.okchdy.otchedy.dam.lam,1,okchy.okchdy.otchedy.dam.lam,okchy.okchdy.otchedy.dam.lam,okchy.okchdy.otchedy.dam.lam,False,many_dots
f85r1,f85r1.P.20;H,f85r1.P.20,H,pcheoy.kshedy.qocphdy.qofol.shdaldy.dairar.cheeteey.otchedy.qokchdy.dy,1,pcheoy.kshedy.qocphdy.qofol.shdaldy.dairar.cheeteey.otchedy.qokchdy.dy,pcheoy.kshedy.qocphdy.qofol.shdaldy.dairar.cheeteey.otchedy.qokchdy.dy,pcheoy.kshedy.qocphdy.qofol.shdaldy.dairar.cheeteey.otchedy.qokchdy.dy,False,many_dots
